ticker,company_name,added_date,removed_date
HON,Honeywell,2021-07-21,
HSIC,,,2019-12-23
IACI,,,2009-12-21
IDXX,Idexx Laboratories,2017-03-20,
ILMN,,2008-12-22,2011-12-19
INCY,,2015-10-07,2021-12-20
INFY,,,2012-12-12
INTC,Intel,,
INTU,Intuit,,
ISRG,Intuitive Surgical,,
JAVA,,,2009-07-17
JBHT,,2008-12-22,2010-12-20
JD,,2015-07-29,2023-12-18
JNPR,,,2009-10-29
JOYG,,,2011-12-06
KDP,Keurig Dr Pepper,2020-10-19,
KHC,Kraft Heinz,2015-07-02,
KLAC,KLA Corporation,2016-12-19,
KRFT,,2013-03-18,2015-07-02
LAMR,,,2008-12-22
LBTYA,,2012-12-24,2009-12-21
LBTYK,,2014-12-22,2020-12-21
LCID,,2021-12-20,2023-12-18
LEAP,,2007-10-08,2008-12-22
LIFE,,2008-12-22,2013-08-22
LILA,,2015-07-02,2015-12-21
LILAK,,2015-07-02,2015-12-21
LIN,Linde plc,2024-03-18,
LLTC,,,2016-10-19
LMCA,,2012-12-24,2013-01-15
LMCK,,,2016-06-20
LOGI,,2007-02-01,2010-12-20
LRCX,Lam Research,2014-12-22,
LULU,Lululemon,2018-12-24,
LVLT,,,2008-12-22
MAR,Marriott International,2013-11-18,
MAT,,2009-12-21,2017-10-23
MCHP,Microchip Technology,2016-07-18,
MDB,,2023-12-18,2025-05-19
MDLZ,Mondelez International,,
MEDI,,,2007-06-01
MELI,Mercado Libre,2017-06-19,
META,Meta Platforms,,
MICC,,,2011-05-27
MNST,Monster Beverage,,
MRNA,,2020-07-20,2024-12-23
MRVL,Marvell Technology,2020-12-21,
MSFT,Microsoft,,
MSTR,MicroStrategy,2024-12-23,
MTCH,,2020-12-21,2022-12-19
MU,Micron Technology,2010-12-20,
MXIM,,2008-12-22,2014-12-22
MYL,,2009-12-21,2019-12-23
NCLH,,2015-12-21,2017-12-18
NDOI,,,2016-07-18
NFLX,"Netflix, Inc.",2010-12-20,
NIHD,,,2011-12-19
NLOK,,,2019-12-23
NLTI,,,2007-08-27
NTAP,,2018-12-24,2016-12-19
NTES,,2016-03-16,2022-12-19
NUAN,,2011-12-19,2013-12-23
NVDA,Nvidia,,
NXPI,NXP Semiconductors,2013-12-23,
ODFL,Old Dominion Freight Line,2022-01-24,
OKTA,,2020-12-21,2022-11-21
ON,Onsemi,2023-06-20,
ORCL,,,2013-07-15
ORLY,O'Reilly Automotive,2008-12-22,
PANW,Palo Alto Networks,2021-12-20,
PAYX,Paychex,,
PCAR,Paccar,,
PDCO,,,2010-12-20
PDD,PDD Holdings,2020-08-24,
PEP,PepsiCo,2018-07-23,
PETM,,,2008-12-22
PLTR,Palantir Technologies,2024-12-23,
PPDI,,2008-12-22,2009-12-21
PRGO,,2011-12-06,2013-06-06
PTEN,,,2007-12-24
PTON,,2020-12-21,2022-01-24
PYPL,PayPal,2015-11-11,
QCOM,Qualcomm,,
QGEN,,2009-12-21,2011-12-19
QRTEA,,,2018-12-24
REGN,Regeneron Pharmaceuticals,2012-12-24,
RIMM,,,2012-12-24
RIVN,,2022-12-19,2023-06-20
ROP,Roper Technologies,2023-12-18,
ROST,Ross Stores,2008-12-22,
RYAAY,,2007-02-14,2009-12-21
SBAC,,2012-12-24,2017-03-20
SBUX,Starbucks,,
SEPR,,,2007-12-24
SGEN,,2019-12-23,2023-12-14
SHLD,,,2013-12-23
SHOP,Shopify,2025-05-19,
SHPG,,2016-10-19,2018-12-24
SIAL,,,2015-07-31
SIRI,,2011-07-15,2008-12-22
SMCI,,2024-07-22,2024-12-23
SNDK,,2009-12-21,2008-12-22
SNPS,Synopsys,2017-12-18,
SOLS,Solstice Advanced Materials,2025-10-30,
SPLK,,2019-12-23,2022-12-19
SPLS,,,2015-12-21
SRCL,,2007-12-24,2016-12-19
STLD,,2007-12-24,2009-12-21
STRZA,,2013-01-15,2013-03-18
STX,,2008-11-10,2018-12-24
SWKS,,2015-08-03,2022-12-19
TCFCA,,,2019-03-19
TCFCB,,,2019-03-19
TCOM,,,2021-12-20
TEAM,Atlassian,2020-12-21,
TEVA,,,2012-05-30
TLAB,,,2008-05-19
TMUS,T-Mobile US,2015-12-21,
TRI,Thomson Reuters,2025-07-28,
TRIP,,2013-12-23,2017-04-24
TSCO,,2013-12-23,2017-12-18
TSLA,"Tesla, Inc.",2013-07-15,
TTD,Trade Desk (The),2023-07-17,
TTWO,Take-Two Interactive,2017-12-18,
TXN,Texas Instruments,2012-04-23,
UAL,,2018-12-24,2020-06-22
UAUA,,2007-03-08,2008-07-21
ULTA,,2015-12-21,2020-12-21
URBN,,2008-12-22,2011-12-19
VIAB,,2012-05-30,2017-12-18
VIP,,2013-10-29,2015-12-21
VMED,,2007-08-27,2008-12-22
VOD,,2009-12-21,2018-12-24
VRSK,Verisk Analytics,2012-12-24,
VRSN,,2018-12-24,2012-12-24
VRTX,Vertex Pharmaceuticals,,
WBA,,2015-03-23,2024-07-22
WBD,Warner Bros. Discovery,2022-12-19,
WCRX,,2008-12-22,2012-12-24
WDAY,"Workday, Inc.",2017-12-18,
WDC,,2012-12-24,2020-10-19
WFM,,,2016-12-19
WFMI,,2010-12-20,2008-12-22
WTW,,,2020-04-30
WYNN,,2017-04-24,2015-12-21
XEL,Xcel Energy,2018-11-19,
XLNX,,,2022-02-22
XMSR,,,2007-12-24
XRAY,,2016-06-20,2013-12-23
YHOO,,,2017-06-19
ZM,,2020-04-30,2023-12-18
ZS,Zscaler,2021-12-20,
